outputdir;typeDISC;typeCONN;nhits;Nmax;rep;name
Lt48Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;AS;M1
Lt48Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;FUN;M1
Lt64Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;AS;M2
Lt64Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;FUN;M2
Lt96Ls20beta6.5mf0.71mas1.01AS;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;AS;M3
Lt96Ls20beta6.5mf0.71mas1.01FUN;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;FUN;M3
Lt64Ls20beta6.5mf0.70mas1.01AS;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;AS;M4
Lt64Ls20beta6.5mf0.70mas1.01FUN;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;64;80;FUN;M4
Lt64Ls32beta6.5mf0.72mas1.01AS;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;128;80;AS;M5
Lt64Ls32beta6.5mf0.72mas1.01FUN;DISCON_SEMWALL smear_N0 SINGLET;source_N0_sink_N0 TRIPLET;128;80;FUN;M5